index,file,Start,Stop,EPI,EPI_NEXT,Class
0,S_1,11189,19352,HVF,HAS,1
1,S_1,87942,98341,HVF,HAS,1
2,S_1,216520,224252,HVF,HAS,1
3,S_1,311663,324771,HVF,HAS,1
11,a_11,111332,123981,HVF,HAS,1
12,a_11,256353,262944,HVF,HAS,1
13,a_11,265276,268571,HVF,HAS,1
14,a_11,320682,324974,HVF,HPE,1
15,a_11,376708,381756,HVT,HVF,1
16,a_11,431931,433757,HPE,HVF,1
17,a_11,551433,562736,HVF,HPE,1
18,a_11,696507,731257,HVF,HPE,1
19,a_11,732799,739384,HPE,HVF,1
20,a_11,774250,784126,HVF,HPE,1
21,a_11,838272,847081,HVF,HPE,1
22,a_11,848675,869441,HPE,HVF,1
23,a_11,912346,917020,HVF,HPE,1
50,a_14,96115,102480,HVF,HAS,1
51,a_14,200887,208259,HVT,HAS,1
52,a_14,311458,317872,HVT,HAS,1
53,a_14,424930,430844,HVF,HAS,1
54,a_14,555515,557923,HPE,HVF,1
55,a_14,665845,670269,HPE,HVF,1
56,a_148,186,98797,HPE,HPR,0
57,a_148,98798,311660,HPR,HPE,1
70,a_153,799428,926983,HPE,HAS,1
71,a_153,926984,1024358,HAS,HPE,1
72,a_155,1405343,1449002,HVF,HAS,1
73,a_157,87543,89852,HVF,HPE,1
76,a_164,63107,66470,HVF,HVT,1
77,a_164,117320,127099,HVT,HVF,1
78,a_166,351252,354024,HPE,HPR,0
79,a_166,1534324,1548979,HPE,HAS,1
87,a_170,111,227650,HPR,HVT,1
93,a_173,430219,439164,HPE,HVT,1
94,a_173,559221,573992,HVT,HPE,1
95,a_173,710096,713284,HVT,HPE,1
96,a_173,941348,948562,HVF,HPE,1
97,a_173,1063336,1072889,HVF,HAS,1
98,a_173,1078191,1086532,HAS,HPR,0
99,a_173,1086533,1090239,HPR,HPE,1
100,a_173,1090240,1110726,HPE,HVF,1
101,a_176,159695,256206,HVF,HAS,1
102,a_176,272120,274291,HAS,HPE,1
