index,file,Start,Stop,EPI,EPI_NEXT,Class
0,S_1,11189,19352,HVF,HAS,1
1,S_1,87942,98341,HVF,HAS,1
2,S_1,216520,224252,HVF,HAS,1
3,S_1,311663,324771,HVF,HAS,1
4,a_10,235347,247092,HVF,HAS,1
5,a_10,343097,349169,HVF,HAS,1
6,a_10,356515,359591,HAS,HPE,1
7,a_10,478915,483082,HVF,HPE,1
8,a_10,484303,503734,HPE,HVF,1
9,a_10,503735,510814,HVF,HPE,1
10,a_10,511757,517689,HPE,HPR,0
11,a_11,111332,123981,HVF,HAS,1
12,a_11,256353,262944,HVF,HAS,1
13,a_11,265276,268571,HVF,HAS,1
14,a_11,320682,324974,HVF,HPE,1
15,a_11,376708,381756,HVT,HVF,1
16,a_11,431931,433757,HPE,HVF,1
17,a_11,551433,562736,HVF,HPE,1
18,a_11,696507,731257,HVF,HPE,1
19,a_11,732799,739384,HPE,HVF,1
20,a_11,774250,784126,HVF,HPE,1
21,a_11,838272,847081,HVF,HPE,1
22,a_11,848675,869441,HPE,HVF,1
23,a_11,912346,917020,HVF,HPE,1
24,a_12,106070,109243,HVF,HPE,1
25,a_12,249273,263997,HPE,HVF,1
26,a_12,263998,268461,HVF,HPE,1
27,a_12,269773,273774,HPE,HPR,0
28,a_12,273775,288571,HPR,HPE,1
29,a_12,336985,340374,HVF,HPE,1
30,a_12,341533,344022,HPE,HVF,1
31,a_12,466275,469334,HVF,HAS,1
32,a_12,567327,573278,HVF,HAS,1
33,a_12,694040,698414,HVF,HAS,1
34,a_12,732759,739361,HVF,HAS,1
35,a_12,740435,743868,HAS,HVF,0
36,a_12,749915,753776,HVF,HAS,1
37,a_12,824447,830603,HVF,HPE,1
38,a_12,955190,957875,HVF,HPE,1
39,a_12,1064580,1066872,HVF,HAS,1
40,a_12,1089350,1139221,HVF,HAS,1
41,a_13,359160,371231,HVF,HVT,1
42,a_13,397893,402647,HVT,HPE,1
43,a_13,424750,434346,HVF,HPE,1
44,a_13,494846,497005,HPE,HAS,1
